title	publish_year	description
硝烟中的Scrum和XP	2011	《硝烟中的Scrum和XP:我们如何实施Scrum》源自真实的故事，Henrik Kniberg以过来人的身份，回顾了他在一年时间内带领40人团队实施敏捷转型和持续过程改进的亲身经历。在...
xUnit Test Patterns	2007	Automated testing is a cornerstone of agile development. An effective testing strategy will deliver new functionality more aggressively, accelerate user feed...
Scrum要素	2013	"Scrum 是一种迭代增量式的软件开发过程，用于敏捷软件开发。Scrum 是一个包括一系列实践和预定义角色的过程框架。
本书以一种轻松易懂、简洁精练的方式，介绍了Scrum 方..."
Continuous Delivery	2010	Winner of the 2011 Jolt Excellence Award! Getting software released to users is often a painful, risky, and time-consuming process.  This groundbreaking new ...
Lean UX	2013	The Lean UX approach to interaction design is tailor-made for today's web-driven reality. In this insightful book, leading advocate Jeff Gothelf teaches you ...
精益软件开发艺术	2009	这本简洁之作，将向你解释如何应用精益软件开发的实践来显著提高生产力和质量。基于对日本制造业产生革命性改变的实践，精益原则正被成功应用到产品设计、工程、供应链 ...
网易一千零一夜	2016	"本书是网易杭州研究院项目管理部多年来丰富的项目管理实践总结与干货分享。字字句句凝结了网易项目经理的甘与苦、汗与泪。
全书围绕项目管理体系，从敏捷实践、项目立项..."
Practices of an Agile Developer	2006	Want to be a better developer? This books collects the personal habits, ideas, and approaches of successful agile software developers and presents them in a ...
User Stories Applied	2004	The concept of user stories has its roots as one of the main tenets of Extreme Programming. In simple terms, user stories represent an effective means of gat...
Extreme Programming Explained	2004	"""In this second edition of Extreme Programming Explained, Kent Beck organizes and presents five years' worth of experiences, growth, and change revolving aro..."
Scrum and XP from the Trenches	2007	The tricky part to agile software development is that there is no manual telling you exactly how to do it. You have to experiment and continuously adapt the ...
精益软件度量	2013	《精益软件度量:实践者的观察与思考》内容简介：软件度量是当今软件开发行业的热点话题，但同时也是推广实施过程中的难题。一方面软件企业管理存在度量的迫切需求；另一...
Agile Testing	2009	Testing is a key component of agile development. The widespread adoption of agile methods has brought the need for effective testing into the limelight, and ...
丰田就这么几招!	2007	以漫画形式介绍TPS，除了看起来更有意思外，还能使对TPS有兴趣的人更容易理解它。漫画的特点是，字与画需要绝妙配合，才能诞生出好的作品，为此也需要大家发挥最高协作...
Agile Estimating and Planning	2005	
Specification by Example	2011	Summary Specification by Example is an emerging practice for creating software based on realistic examples, bridging the communication gap between business s...
.NET单元测试艺术	2012	《.NET单元测试艺术》针对这个重要主题展开讨论,引导读者从简单的测试开始,逐渐过渡到如何写出可维护、可读、可信赖的测试。同时,还涉及mock,stub和框架(如Typemock Iso...
轻快的Java	2006	Java的开发者正深陷于复杂性的泥沼中而无法自拔。我们的经验和能力正接近极限，程序员为了编写支持所选框架的程序所花的时间比解决真正问题的时间要多得多。我们不禁要...
Professional Java Development with the Spring Framework	2005	The Spring Framework is a major open source application development framework that makes Java/J2EE(TM) development easier and more productive. This book show...
Continuous Integration	2007	"For any software developer who has spent days in ""integration hell,"" cobbling together myriad software components, Continuous Integration: Improving Software..."
Our Iceberg Is Melting	2006	"在线阅读本书

 Most of the denizens of the Antarctic penguin colonysneer at Fred, the quiet but observant scout who detects worrying signs that their home, a..."
The Thoughtworks Anthology	2008	This collection of essays covers a wide range of issues facing software developers today. In this book, you'll find a treasure trove of pragmatic advice to i...
Agile Retrospectives	2006	"Project retrospectives help teams examine what went right and what went wrong on a project. But traditionally, retrospectives (also known as ""post-mortems"") ..."
The Art of Agile Development	2007	"Product Description
The Art of Agile Development contains practical guidance for anyone considering or applying agile development for building valuable softw..."
Ship it!	2005	Ship It!  is a collection of tips that show the tools and techniques a successful project team has to use, and how to use them well. You'll get quick, easy-t...
Managing The Professional Service Firm	1997	"在线阅读本书

  For the first time in paperback, international expert and consultant David Maister offers a brilliant and accessible guide to every managemen..."
Agile Coaching	2009	"To lead change, you need to expand your toolkit, and this book gives you the tools you need to make the transition from agile practitioner to agile coach. ""A..."
Succeeding with Agile	2009	Proven, 100% Practical Guidance for Making Scrum and Agile Work in Any Organization This is the definitive, realistic, actionable guide to starting fast with...
The Principles of Product Development Flow	2009	
驯服烂代码	2014	Kent Beck、Martin Fowler、Michael C. Feathers、Robert C. Martin、Joshua Kerievsky、Gerard Meszaros等大师们的传世著作为如何提升编程技艺和代码质量提供了思想和...
Implementing Lean Software Development	2006	"""This remarkable book combines practical advice, ready-to-use techniques, anda deep understanding of why this is the right way to develop software. I havesee..."
Agile Software Development with Scrum	2001	eXtreme Programming is an ideal many software shops would love to reach, but with the constant pressures to produce software quickly, they cannot actually im...
软件开发践行录	2014	ThoughtWorks是一家全球软件设计与定制领袖企业。ThoughtWorks首席科学家Martin Fowler先生是当今世界软件开发领域最具影响力的几位大师之一。在中国，ThoughtWorks已经...
软件开发本质论	2017	想象你正在攀登一座名为“软件开发”的山峰。本书是与你同登一座山峰的敏捷先驱所带来的话语与图片。他在崎岖的山路边找到相当平坦的歇脚处，画下所见的风景，并写下自...
Kanban and Scrum - making the most of both	2010	Scrum and Kanban are two flavours of Agile software development - two deceptively simple but surprisingly powerful approaches to software development. So how...
Lean Software Development	2003	Lean Software Development: An Agile Toolkit  Mary Poppendieck Tom Poppendieck  Forewords by Jim Highsmithand Ken Schwaber *Adapting agile practices to your d...
Refactoring Databases	2006	Refactoring has proven its value in a wide range of development projects--helping software professionals improve system designs, maintainability, extensibili...
重构极限编程	2005	本书分析了XP的缺点，并提出一种可选择的实现敏捷性的方法，打碎一些紧随XP浪潮开始出现的神话，如无需记录工作的神话，一位现场客户和一些自动化测试足以替代书面需求...
The Agile Samurai	2010	"Get ready to kick some software project butt. By learning the ways of the agile samurai you will discover:

 * how to create plans and schedules your custome..."
kanban	2010	
看板实战	-1	看板方法是移动互联时代引领组织变革和改进团队开发过程的强大武器，也是平稳地落实精益和敏捷开发实践的工具。本书是带领读者进入看板世界的当然之选，它既提供了完备...
软件开发与创新	2014	在这本文集中，你会找到各种来自一线的建议，诸如持续集成、测试，以及改善软件交付流程，等等。本书会介绍人们怎样在面向对象语言中使用函数式编程技术，现代Java Web...
Emergent Design	2008	For software to consistently deliver promised results, software development must mature into a true profession.    Emergent Design    points the way. As soft...
结对编程技术	2004	结对编程技术看起来简单，但当习惯于独立工作的人结对进行开发时，如何真正做到事半功倍，还要用到很多非技术性的技巧。本书作者根据自身的实践经验，对结对编程中的习...
Ruby 最佳实践	2010	你能够编写真正优雅的Ruby代码吗？《Ruby最佳实践》正是为想要像专家那样使用Ruby的程序员所准备的。《Ruby 最佳实践(影印版)》由Ruby项目Prawn的开发者所著，简洁地向...
优势——组织健康胜于一切	2013	
Scaling Lean & Agile Development	2008	Lean Development and Agile Methods for Large-Scale Products: Key Thinking and Organizational Tools for Sustainable Competitive Success Increasingly, large pr...
Scrum	2014	We live in a world that is broken. For those who believe that there must be a more efficient way for people to get things done, here from Scrum pioneer Jeff ...
丰田生产方式 Toyota Production System	2014	
Expert Spring MVC and Web Flow	2006	
Agile Software Requirements	2011	“We need better approaches to understanding and managing software requirements, and Dean provides them in this book. He draws ideas from three very useful i...
Extreme Programming Explained	1999	
验收测试驱动开发	2013	
Agile Product Management with Scrum	2010	The First Guide to Scrum-Based Agile Product Management In Agile Product Management with Scrum, leading Scrum consultant Roman Pichler uses real-world exampl...
超越传统的软件开发	2005	本书从软件工程理论、软件开发实验、编程心理学等多个方面，深入剖析了极限编程的原理和实质。全书以分析对极限编程的种种误解为主线，以编程实验数据为基础，用科学的...
ATDD by Example	2012	With Acceptance Test-Driven Development (ATDD), business customers, testers, and developers can collaborate to produce testable requirements that help them b...
Agile and Iterative Development	2003	Agile and iterative methods have emerged as the most popular approaches to software development, and with good reason. Research (examined and cited in detail...
精益思想（白金版）	2015	《精益思想》于1996年秋季首次出版，历经20年，畅销十多个国家，累计销量上百万册。本书的成功在于它对精益生产方式做了最好的总结，为读者提供了精益的核心原则，实地...
Collaboration Explained	2006	"""Collaboration Explained is a deeply pragmatic book that helps agile practitioners understand and manage complex organizational and team dynamics. As an agil..."
Essential Scrum	2012	A Practical Guide to the Most Popular Agile Process The Single-Source, Comprehensive Guide to Scrum for All Team Members, Managers, and Executives If you wan...
SCRUM	2015	"從今天開始，開會只要15分鐘！
讓你的進度、預算不再失控
一流人才聚在一起，為什麼變成二流團隊？甚至只能展現三流績效？
一定有一種工作方式，能讓團隊的表現不打折，..."
黑客营销	2016	为了适应现代化营销，营销管理必须更快地适应市场的反馈，快速迭代，从而满足客户越来越复杂的体验需求。这些挑战在软件行业表现突出。本书将告诉你如何克服这些挑战，...
Jenkins Continuous Integration Cookbook	2012	
The Future Arrived Yesterday	2009	A bold vision about the ways companies will adapt and be reborn in a revolutionary world where business models implode and the search is on for what will wor...
Coaching Agile Teams	2010	The Provocative and Practical Guide to Coaching Agile Teams As an agile coach, you can help project teams become outstanding at agile, creating products that...
Agile Modeling	2002	The first book to cover Agile Modeling, a new modeling technique created specifically for XP projects eXtreme Programming (XP) has created a buzz in the soft...
Agile Project Management	2004	"""Jim Highsmith is one of a few modern writers who are helping us understand the new nature of work in the knowledge economy.""  --Rob Austin, Assistant Profes..."
有效的项目管理	2011	《有效的项目管理(面向传统敏捷极限项目第5版)》(作者罗伯特·K·威索基)全面系统地介绍了有效的项目管理方法，不仅带你梳理传统项目管理方法，还系统地介绍了极限项目...
Practical JRuby on Rails Web 2.0 Projects	2007	Discover how JRuby on Rails can be used to create web applications faster and more efficiently while still taking advantage of the vast power of the Java pla...
The Reengineering Alternative	2000	
重构手册	2004	"利用这本通过示例“说话”的实例手册，可以充分发挥重构的强大功能，改善现有的软件。
    身为程序员，你必须具备的一个基本功就是能够找出并改善有问题的代码，使程序..."
Practices for Scaling Lean & Agile Development	2010	Lean and Agile Development for Large-Scale Products: Key Practices for Sustainable Competitive Success Increasingly, large product-development organizations ...
探索极限编程	2002	"你知道XP是什么，如何准备并实践XP，以及如何使用XP计划项目。现在是扩大极限编程的使用并应用这种颇为流行的规范进行实践的良机。
在《探索极限编程》中，你可以阅读最..."
Leading Lean Software Development	2009	Building on their breakthrough bestsellers Lean Software Development and Implementing Lean Software Development, Mary and Tom Poppendieck's latest book shows...
精益开发与看板方法	2016	"产品特色
精益七大原则：消除浪费、增强学习、尽量延迟决策、尽快交付、授权团队、嵌入完整性、着眼整体
看板六大实践：可视化、限制、管理流程、制定明确规则、落实反..."
《金矿3:精益领导者的软实力》	2015	今天，越来越多的企业已经开始认识并努力地实施精益，这几乎成为一种趋势。不过大多数实践者只看到它严格关注流程以及制造高质量产品和服务的硬实力，少有人理解到精益...
Agile ALM	2011	"Summary ""Agile ALM"" is a guide for Java developers who want to integrate flexible agile practices and lightweight tooling along all phases of the software de..."
Dynamics of Software Development	2006	
Agile Data Warehouse Design	2011	
The Enterprise and Scrum	2007	"在线阅读本书

Its time to extend the benefits of Scrumgreater agility, higher-quality products, and lower costsfrom individual teams to your entire enterpris..."
实施六西格玛的第一个90天	2008	《实施六西格玛的第一个90天》将教会企业在90天内成功启动六西格玛变革，并在此后让这个程序深深扎根到企业文化中，永葆青春。这个企业级的部署涉及的内容广泛，从战略...
How to Change the World	2012	How do I deal with my crappy organization? I like my work but I don’t like what our management is doing. How do I deal with it? Well, that’s easy. You have...
The Rational Unified Process	2003	"The Rational Unified Process embodies the best practices of proven
 software development methods, and is an optimal match to the features
 of the UML.
 --Gra..."
Agile Software Development Ecosystems (Agile Software Development Series)	2002	"Traditional software development methods struggle to keep pace with the accelerated pace and rapid change of Internet-era development. Several ""agile methodo..."
Scaling Software Agility	2007	"""Companies have been implementing large agile projects for a number of years, but the 'stigma' of 'agile only works for small projects' continues to be a fre..."
Extreme Programming Refactored	2003	
CVS 开源软件开发技术	2001	本书详细介绍CVS 的发展历史、
Coaching Agile Teams: A Companion for ScrumMasters, Agile Coaches, and Project Managers in Transitio	-1	
A Practical Approach to Large-Scale Agile Development	2012	Today, even the largest development organizations are turning to agile methodologies, seeking major productivity and quality improvements. However, large-sca...
高质量软件项目管理	2006	在现代企业中，软件项目经理及其开发团队起到关键的作用，他们应该具有丰富的管理经验以及全面的软件开发、改进和维护的知识。而要成为真正的项目经理，并不是一个一蹴...
Test-Driven Development	2003	This book teaches programmers how to make Test Driven Development (TDD) work in their organization. TDD is unique because it forces the programmer to write t...
Essential Skills for the Agile Developer	2010	Agile has become today's dominant software development paradigm, but agile methods remain difficult to measure and improve. Essential Skills for the Agile De...
The Culture Game	-1	THE CULTURE GAME is your tutorial and reference guide for creating lasting business agility in your organization. This is the handbook for managers who want ...
快速测试	2004	"本书介绍一种软件测试的实用方法，重点讲述一个测试过程，该过程适用于当今日益快速的软件开发。
　　全书共分三部分，第一部分(第1～6章)为快速测试过程，定义与软件测..."
Becoming Agile	2009	Many books discuss Agile from a theoretical or academic perspective. Becoming Agile takes a different approach and focuses on explaining Agile from a case-st...
Lean Architecture: for Agile Software Development	-1	
A Practical Guide to Distributed Scrum	2010	"Succeed with Scrum in Even the Largest, Most Complex Distributed Development Projects
This is the first comprehensive, practical guide for Scrum
practitioner..."
The Dream Team Nightmare	2013	"Management is ready to disband your new agile team and outsource your project. Can you save The Dream Team?
The Dream Team started their journey 18 months ag..."
Personal Kanban	-1	
Scenarios, Stories, Use Cases	2004	Extending the scenario method beyond interface design, this important book shows developers how to design more effective systems by soliciting, analyzing, an...
面向对象建模与设计	2003	UML是当今主流的建模语言，不过作为其重要基石的OMT缺不太为国人所知，了解OMT的本质对深刻理解UML和面向对象，进而提高自己的建模技术水平有着重要意义。本书由OMT的倡...
Flexible Product Development	2007	In this landmark book, Preston Smith attributes the recent decline in innovation to pressure from financial markets that drives management toward rigid devel...
The Scrum Field Guide	2012	Thousands of IT professionals are being asked to make Scrum succeed in their organizations-including many who weren,t involved in the decision to adopt it. I...
Lean Integration	2010	"""Lean Integration is an excellent resource for anyone struggling with the challenges of performing integration for a complex enterprise."" --Steve J. Dennis, ..."
An Agile Adoption and Transformation Survival Guide	2012	
Making Sense of Agile Project Management	2011	The book is intended to provide a much deeper understanding of agile principles, methodologies, and practices to enable project managers to develop a more ag...
Patterns of Agile Practice Adoption	2007	As more and more people move towards adoption of Agile practices, they are looking for guidance and advice on how to adopt Agile successfully. Unfortunately ...
Agile Management for Software Engineering	2003	This book is certainly about software development management, but it is also a book about business. Managers can no longer afford to discuss these two topics...
Pair Programming Illuminated	2002	At face value, pair programming appears to be a simple, straightforward concept. Two programmers work side-by-side at one computer, continuously collaboratin...
The Scrummaster Study Guide	-1	
Lean-Agile Pocket Guide for Scrum Teams	2009	
The Human Side of Agile - How to Help Your Team Deliver	2012	"As an Agile team leader, your biggest challenge is also your biggest asset.
The human side of Agile is tricky. It's the least manageable, understood, and app..."
New York's Awful Steamboat Horror	2006	"Story of the ""General Slocum,"" the New York excursion steamer which burned on June 15, 1904 with fatalities rivalling those of the ""Titanic"" and ""Lusitania.""..."
Children, Including	-1	Hephaestus Books represents a new publishing paradigm, allowing disparate content sources to be curated into cohesive, relevant, and informative books. To da...
Mistletoe Kittens	1999	
A Lady Decides	1999	
